Gia,Dia chi,Dien tich,Gia/m²,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai,Quan
3.15,"Lô 46 B2.96, Hói Kiểng 30, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,31.5,Tây Bắc,Đất nền dự án,5.0,20.0,Ngũ Hành Sơn
2.5,"Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",79.0,31.65,Đông Nam,Đất thổ cư,6.0,14.0,Sơn Trà
2.1,"13, Đường Lạc Long Quân, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",125.0,16.8,Đông Bắc,Đất thổ cư,4.2,31.0,Liên Chiểu
5.9,"Lê Hiến Mai, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",220.0,26.82,Tây Nam,Đất thổ cư,10.0,22.0,Cẩm Lệ
3.5,"Đường Trần Thúc Nhẫn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",88.0,39.77,Đông Bắc,Đất thổ cư,5.0,17.5,Cẩm Lệ
3.95,"Hoà Phú 26, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,39.5,Tây Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
4.5,"Đường Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",164.0,27.44,Tây Bắc,Đất nền dự án,8.0,22.0,Liên Chiểu
3.25,"Đường Trần Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",85.0,38.24,Bắc,Đất thổ cư,5.0,17.0,Cẩm Lệ
2.6,"Đường Lương Khắc Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,26.0,Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
3.5,"Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",87.0,40.23,Đông Bắc,Đất nền dự án,5.0,17.0,Cẩm Lệ
3.85,"Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",97.0,39.69,Tây Bắc,Đất thổ cư,5.0,19.5,Liên Chiểu
1.35,"Đường Nguyễn Tất Thành, Xã Hòa Liên, Huyện Hòa Vang, Đà Nẵng",150.0,9.0,Tây Nam,Đất nền dự án,5.0,30.0,Hòa Vang
2.2,"Đường Phước Tướng 7, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",81.0,27.16,Bắc,Đất thổ cư,4.5,18.0,Cẩm Lệ
3.75,"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,37.5,Đông Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
4.6,"Khánh An 6, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",184.5,24.93,Đông Bắc,Đất nền dự án,9.5,20.0,Liên Chiểu
2.1,"Đường Đào Ngọc Chua, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",102.0,20.59,Đông Nam,Đất nền dự án,5.0,20.0,Liên Chiểu
11.5,"Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,115.0,Đông Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
1.7,"Thôn Quá Giáng 1, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",193.0,8.81,Đông Nam,Đất thổ cư,8.0,25.0,Hòa Vang
2.85,"41, Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",75.0,38.0,Tây Nam,Đất thổ cư,5.0,17.0,Liên Chiểu
3.05,"Hố Truông 2, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",90.0,33.89,Đông Nam,Đất nền dự án,5.0,18.0,Liên Chiểu
2.65,"Đường Xuân Thiều 10, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,26.5,Đông Nam,Đất nền dự án,5.0,20.0,Liên Chiểu
23.0,"An Đồn 6, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",210.0,109.52,Đông Nam,Đất nền dự án,10.0,21.0,Sơn Trà
5.2,"Đường Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",115.0,45.22,,Đất thổ cư,5.0,23.0,Cẩm Lệ
13.0,"Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",215.0,60.47,Tây,Đất thổ cư,10.0,21.5,Cẩm Lệ
5.3,"Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",120.0,44.17,Tây Bắc,Đất thổ cư,5.0,24.0,Cẩm Lệ
1.95,"Đường Đá Bàn 2, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",100.0,19.5,Đông Bắc,Đất thổ cư,5.0,20.0,Hòa Vang
2.7,"Đường Chơn Tâm 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,27.0,Đông,Đất thổ cư,5.0,20.0,Liên Chiểu
2.85,"Đường Quảng Nam, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",105.0,27.14,Đông Nam,Đất nền dự án,5.0,21.0,Ngũ Hành Sơn
3.15,"Trần Xuân Hoà, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,31.5,,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.97,"7m5, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,27.0,Đông Nam,Đất nền dự án,5.0,22.0,Ngũ Hành Sơn
2.95,"7m5, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",105.0,28.1,,Đất nền dự án,5.0,21.0,Ngũ Hành Sơn
2.65,"Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,26.5,Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
3.8,"Đường Cồn Dầu 16, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,38.0,Tây Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
4.75,"Đường Trần Minh Tông, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,47.5,Đông Nam,Đất thổ cư,5.0,20.0,Liên Chiểu
2.59,"Miếu Bông, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",240.0,10.79,,Đất thổ cư,6.4,37.5,Hòa Vang
3.04,"Đường Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,30.4,,Đất thổ cư,5.0,20.0,Liên Chiểu
3.85,"Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",97.3,39.57,,Đất thổ cư,5.0,19.7,Liên Chiểu
4.0,"Hòa Phú, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",92.0,43.48,Đông Nam,Đất thổ cư,5.0,19.0,Liên Chiểu
2.5,"Đường Xuân Thiều 10, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,25.0,Tây Bắc,Đất nền dự án,5.0,20.0,Liên Chiểu
1.98,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",87.0,22.76,Tây Bắc,Đất thổ cư,7.0,12.0,Cẩm Lệ
5.7,"Đường Nguyễn Văn Siêu, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",73.0,78.08,Tây Bắc,Đất thổ cư,4.25,17.0,Sơn Trà
4.8,"Huỳnh Văn Gấm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",121.0,39.67,Đông Bắc,Đất nền dự án,5.0,24.2,Cẩm Lệ
3.05,"Đường Hà Duy Phiên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",120.0,25.42,Đông,Đất thổ cư,5.0,24.0,Cẩm Lệ
5.1,"Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",130.0,39.23,Đông Bắc,Đất nền dự án,5.0,26.0,Cẩm Lệ
2.45,"Mai Văn Ngọc, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",118.0,20.76,,Đất thổ cư,5.0,23.5,Liên Chiểu
3.52,"Quảng Nam, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",125.0,28.16,Tây Nam,Đất nền dự án,5.0,25.0,Cẩm Lệ
10.3,"Ngô Tất Tố - Bình An 4, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",110.0,93.64,Tây,Đất thổ cư,6.0,20.0,Hải Châu
19.38,"Gia'ng Hương 5, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",312.5,62.02,Đông Nam,Đất thổ cư,12.5,25.0,Cẩm Lệ
2.25,"Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",60.0,37.5,,Đất thổ cư,4.5,13.33,Thanh Khê
12.9,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",98.0,131.63,Tây Nam,Đất thổ cư,7.0,14.0,Hải Châu
8.2,"Hoàng Minh Thảo, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",250.0,32.8,Đông Bắc,Đất thổ cư,10.0,22.0,Liên Chiểu
3.0,"Cầu Nguyễn Tri Phương, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",100.0,30.0,Tây Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.4,"Đường Lương Khắc Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,24.0,Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
5.9,"Đường Ninh Tốn, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",125.0,47.2,Đông Bắc,Đất thổ cư,5.0,25.0,Liên Chiểu
2.4,"Đường Cổ Mân Lan 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",90.0,26.67,Bắc,Đất thổ cư,5.0,19.0,Cẩm Lệ
4.75,"Đường Võ Chí Công, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",250.0,19.0,,Đất thổ cư,10.0,25.0,Ngũ Hành Sơn
12.0,"Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",142.0,84.51,Đông Nam,Đất nền dự án,7.0,20.0,Liên Chiểu
4.35,"Đường Trần Đăng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",105.0,41.43,Đông Nam,Đất thổ cư,5.0,21.0,Liên Chiểu
1.33,"Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",99.0,13.43,Đông,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.35,"Đường Thành Vinh 2, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",55.0,42.73,,Đất thổ cư,5.5,10.0,Sơn Trà
2.65,"K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",96.0,27.6,Tây Nam,Đất thổ cư,4.2,22.86,Ngũ Hành Sơn
21.0,"Giáng Hương 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",300.0,70.0,Tây Nam,Đất nền dự án,12.0,25.0,Cẩm Lệ
7.8,"Bàu Mạc 21, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",195.0,40.0,Đông Bắc,Đất nền dự án,10.0,20.0,Liên Chiểu
2.95,"Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",150.0,19.67,Đông Nam,Đất nền dự án,6.0,25.0,Liên Chiểu
3.35,"Nại Nghĩa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",60.0,55.83,Nam,Đất thổ cư,5.12,11.72,Sơn Trà
15.5,"Trường Sa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",200.0,77.5,Đông,Đất nền dự án,10.0,20.0,Ngũ Hành Sơn
1.32,"Thị An, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",98.0,13.47,Tây Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.1,"Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,21.0,Tây Nam,Đất nền dự án,5.0,25.0,Liên Chiểu
2.85,"Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",85.0,33.53,,Đất thổ cư,5.0,17.0,Liên Chiểu
1.99,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",70.0,28.43,Tây Bắc,Đất thổ cư,5.0,14.0,Liên Chiểu
1.77,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",60.0,29.5,Tây Bắc,Đất thổ cư,4.7,12.0,Liên Chiểu
4.1,"Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,41.0,Tây Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
11.0,"Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",172.0,63.95,Đông Bắc,Đất nền dự án,8.5,20.2,Cẩm Lệ
2.25,"Phước Lý 20, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",90.0,25.0,Đông Nam,Đất thổ cư,5.0,18.0,Liên Chiểu
1.55,"Bình Kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",88.0,17.61,Bắc,Đất thổ cư,5.0,17.6,Ngũ Hành Sơn
4.7,"Đường Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",185.0,25.41,Nam,Đất thổ cư,8.0,24.0,Liên Chiểu
1.15,"Đường Tỉnh 605, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",100.0,11.5,,Đất thổ cư,5.0,20.0,Hòa Vang
1.6,"Kiệt 41 Trần Đức, Đường Trần Đức, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",66.3,24.13,Bắc,Đất thổ cư,6.0,11.11,Liên Chiểu
4.95,"Đường Vũ Văn Cẩn, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",150.0,33.0,Đông Bắc,Đất thổ cư,7.5,20.0,Ngũ Hành Sơn
