Gia,Dia chi,Dien tich,Gia/m2,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai
"3,15 tỷ - 100 m2","Lô 46 B2.96, Hói Kiểng 30, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"31,5 triệu/m²",Tây Bắc,Đất nền dự án,5 m,
"5,2 tỷ - 75 m2","Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",75 m²,"69,33 triệu/m²",,Đất thổ cư,,
"2,5 tỷ - 79 m2","Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà NẵngXem bản đồ",79 m²,"31,65 triệu/m²",Đông Nam,Đất thổ cư,6 m,14 m
"2,1 tỷ - 125 m2","13, Đường Lạc Long Quân, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",125 m²,"16,8 triệu/m²",Đông Bắc,Đất thổ cư,4.1999 m,31 m
"6,2 tỷ - 92 m2","68, Đường Hòa Minh 8, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",92 m²,"67,39 triệu/m²",Tây Nam,Đất thổ cư,4 m,21 m
"5,9 tỷ - 220 m2","Lê Hiến Mai, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",220 m²,"26,82 triệu/m²",Tây Nam,Đất thổ cư,10 m,
"2,5 tỷ - 4.850 m2","Đường Bê Tông 4m Oto, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà NẵngXem bản đồ",4850 m²,515.464 đ/m²,Đông Nam,Đất nông nghiệp,70 m,70 m
"3,5 tỷ - 88 m2","Đường Trần Thúc Nhẫn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",88 m²,"39,77 triệu/m²",Đông Bắc,Đất thổ cư,5 m,17.5 m
"3,95 tỷ - 100 m2","Hoà Phú 26, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"39,5 triệu/m²",Tây Bắc,Đất thổ cư,5 m,20 m
"4,5 tỷ - 164 m2","Đường số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",164 m²,"27,44 triệu/m²",Tây Bắc,Đất nền dự án,8 m,22 m
